name,alpha-3,country-code,region,sub-region
Afghanistan,AFG,4,Asia,Southern Asia
Åland Islands,ALA,248,Europe,Northern Europe
Albania,ALB,8,Europe,Southern Europe
Algeria,DZA,12,Africa,Northern Africa
American Samoa,ASM,16,Oceania,Polynesia
Andorra,AND,20,Europe,Southern Europe
Angola,AGO,24,Africa,Sub-Saharan Africa
Anguilla,AIA,660,Americas,Latin America and the Caribbean
Antarctica,ATA,10,,
Antigua and Barbuda,ATG,28,Americas,Latin America and the Caribbean
Argentina,ARG,32,Americas,Latin America and the Caribbean
Armenia,ARM,51,Asia,Western Asia
Aruba,ABW,533,Americas,Latin America and the Caribbean
Australia,AUS,36,Oceania,Australia and New Zealand
Austria,AUT,40,Europe,Western Europe
Azerbaijan,AZE,31,Asia,Western Asia
Bahamas,BHS,44,Americas,Latin America and the Caribbean
Bahrain,BHR,48,Asia,Western Asia
Bangladesh,BGD,50,Asia,Southern Asia
Barbados,BRB,52,Americas,Latin America and the Caribbean
Belarus,BLR,112,Europe,Eastern Europe
Belgium,BEL,56,Europe,Western Europe
Belize,BLZ,84,Americas,Latin America and the Caribbean
Benin,BEN,204,Africa,Sub-Saharan Africa
Bermuda,BMU,60,Americas,Northern America
Bhutan,BTN,64,Asia,Southern Asia
"Bolivia, Plurinational State of",BOL,68,Americas,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba",BES,535,Americas,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,70,Europe,Southern Europe
Botswana,BWA,72,Africa,Sub-Saharan Africa
Bouvet Island,BVT,74,Americas,Latin America and the Caribbean
Brazil,BRA,76,Americas,Latin America and the Caribbean
British Indian Ocean Territory,IOT,86,Africa,Sub-Saharan Africa
Brunei Darussalam,BRN,96,Asia,South-eastern Asia
Bulgaria,BGR,100,Europe,Eastern Europe
Burkina Faso,BFA,854,Africa,Sub-Saharan Africa
Burundi,BDI,108,Africa,Sub-Saharan Africa
Cabo Verde,CPV,132,Africa,Sub-Saharan Africa
Cambodia,KHM,116,Asia,South-eastern Asia
Cameroon,CMR,120,Africa,Sub-Saharan Africa
Canada,CAN,124,Americas,Northern America
Cayman Islands,CYM,136,Americas,Latin America and the Caribbean
Central African Republic,CAF,140,Africa,Sub-Saharan Africa
Chad,TCD,148,Africa,Sub-Saharan Africa
Chile,CHL,152,Americas,Latin America and the Caribbean
China,CHN,156,Asia,Eastern Asia
Christmas Island,CXR,162,Oceania,Australia and New Zealand
Cocos (Keeling) Islands,CCK,166,Oceania,Australia and New Zealand
Colombia,COL,170,Americas,Latin America and the Caribbean
Comoros,COM,174,Africa,Sub-Saharan Africa
Congo,COG,178,Africa,Sub-Saharan Africa
"Congo, Democratic Republic of the",COD,180,Africa,Sub-Saharan Africa
Cook Islands,COK,184,Oceania,Polynesia
Costa Rica,CRI,188,Americas,Latin America and the Caribbean
Côte d'Ivoire,CIV,384,Africa,Sub-Saharan Africa
Croatia,HRV,191,Europe,Southern Europe
Cuba,CUB,192,Americas,Latin America and the Caribbean
Curaçao,CUW,531,Americas,Latin America and the Caribbean
Cyprus,CYP,196,Asia,Western Asia
Czechia,CZE,203,Europe,Eastern Europe
Denmark,DNK,208,Europe,Northern Europe
Djibouti,DJI,262,Africa,Sub-Saharan Africa
Dominica,DMA,212,Americas,Latin America and the Caribbean
Dominican Republic,DOM,214,Americas,Latin America and the Caribbean
Ecuador,ECU,218,Americas,Latin America and the Caribbean
Egypt,EGY,818,Africa,Northern Africa
El Salvador,SLV,222,Americas,Latin America and the Caribbean
Equatorial Guinea,GNQ,226,Africa,Sub-Saharan Africa
Eritrea,ERI,232,Africa,Sub-Saharan Africa
Estonia,EST,233,Europe,Northern Europe
Eswatini,SWZ,748,Africa,Sub-Saharan Africa
Ethiopia,ETH,231,Africa,Sub-Saharan Africa
Falkland Islands (Malvinas),FLK,238,Americas,Latin America and the Caribbean
Faroe Islands,FRO,234,Europe,Northern Europe
Fiji,FJI,242,Oceania,Melanesia
Finland,FIN,246,Europe,Northern Europe
France,FRA,250,Europe,Western Europe
French Guiana,GUF,254,Americas,Latin America and the Caribbean
French Polynesia,PYF,258,Oceania,Polynesia
French Southern Territories,ATF,260,Africa,Sub-Saharan Africa
Gabon,GAB,266,Africa,Sub-Saharan Africa
Gambia,GMB,270,Africa,Sub-Saharan Africa
Georgia,GEO,268,Asia,Western Asia
Germany,DEU,276,Europe,Western Europe
Ghana,GHA,288,Africa,Sub-Saharan Africa
Gibraltar,GIB,292,Europe,Southern Europe
Greece,GRC,300,Europe,Southern Europe
Greenland,GRL,304,Americas,Northern America
Grenada,GRD,308,Americas,Latin America and the Caribbean
Guadeloupe,GLP,312,Americas,Latin America and the Caribbean
Guam,GUM,316,Oceania,Micronesia
Guatemala,GTM,320,Americas,Latin America and the Caribbean
Guernsey,GGY,831,Europe,Northern Europe
Guinea,GIN,324,Africa,Sub-Saharan Africa
Guinea-Bissau,GNB,624,Africa,Sub-Saharan Africa
Guyana,GUY,328,Americas,Latin America and the Caribbean
Haiti,HTI,332,Americas,Latin America and the Caribbean
Heard Island and McDonald Islands,HMD,334,Oceania,Australia and New Zealand
Holy See,VAT,336,Europe,Southern Europe
Honduras,HND,340,Americas,Latin America and the Caribbean
Hong Kong,HKG,344,Asia,Eastern Asia
Hungary,HUN,348,Europe,Eastern Europe
Iceland,ISL,352,Europe,Northern Europe
India,IND,356,Asia,Southern Asia
Indonesia,IDN,360,Asia,South-eastern Asia
"Iran, Islamic Republic of",IRN,364,Asia,Southern Asia
Iraq,IRQ,368,Asia,Western Asia
Ireland,IRL,372,Europe,Northern Europe
Isle of Man,IMN,833,Europe,Northern Europe
Israel,ISR,376,Asia,Western Asia
Italy,ITA,380,Europe,Southern Europe
Jamaica,JAM,388,Americas,Latin America and the Caribbean
Japan,JPN,392,Asia,Eastern Asia
Jersey,JEY,832,Europe,Northern Europe
Jordan,JOR,400,Asia,Western Asia
Kazakhstan,KAZ,398,Asia,Central Asia
Kenya,KEN,404,Africa,Sub-Saharan Africa
Kiribati,KIR,296,Oceania,Micronesia
"Korea, Democratic People's Republic of",PRK,408,Asia,Eastern Asia
"Korea, Republic of",KOR,410,Asia,Eastern Asia
Kuwait,KWT,414,Asia,Western Asia
Kyrgyzstan,KGZ,417,Asia,Central Asia
Lao People's Democratic Republic,LAO,418,Asia,South-eastern Asia
Latvia,LVA,428,Europe,Northern Europe
Lebanon,LBN,422,Asia,Western Asia
Lesotho,LSO,426,Africa,Sub-Saharan Africa
Liberia,LBR,430,Africa,Sub-Saharan Africa
Libya,LBY,434,Africa,Northern Africa
Liechtenstein,LIE,438,Europe,Western Europe
Lithuania,LTU,440,Europe,Northern Europe
Luxembourg,LUX,442,Europe,Western Europe
Macao,MAC,446,Asia,Eastern Asia
Madagascar,MDG,450,Africa,Sub-Saharan Africa
Malawi,MWI,454,Africa,Sub-Saharan Africa
Malaysia,MYS,458,Asia,South-eastern Asia
Maldives,MDV,462,Asia,Southern Asia
Mali,MLI,466,Africa,Sub-Saharan Africa
Malta,MLT,470,Europe,Southern Europe
Marshall Islands,MHL,584,Oceania,Micronesia
Martinique,MTQ,474,Americas,Latin America and the Caribbean
Mauritania,MRT,478,Africa,Sub-Saharan Africa
Mauritius,MUS,480,Africa,Sub-Saharan Africa
Mayotte,MYT,175,Africa,Sub-Saharan Africa
Mexico,MEX,484,Americas,Latin America and the Caribbean
"Micronesia, Federated States of",FSM,583,Oceania,Micronesia
"Moldova, Republic of",MDA,498,Europe,Eastern Europe
Monaco,MCO,492,Europe,Western Europe
Mongolia,MNG,496,Asia,Eastern Asia
Montenegro,MNE,499,Europe,Southern Europe
Montserrat,MSR,500,Americas,Latin America and the Caribbean
Morocco,MAR,504,Africa,Northern Africa
Mozambique,MOZ,508,Africa,Sub-Saharan Africa
Myanmar,MMR,104,Asia,South-eastern Asia
Namibia,NAM,516,Africa,Sub-Saharan Africa
Nauru,NRU,520,Oceania,Micronesia
Nepal,NPL,524,Asia,Southern Asia
"Netherlands, Kingdom of the",NLD,528,Europe,Western Europe
New Caledonia,NCL,540,Oceania,Melanesia
New Zealand,NZL,554,Oceania,Australia and New Zealand
Nicaragua,NIC,558,Americas,Latin America and the Caribbean
Niger,NER,562,Africa,Sub-Saharan Africa
Nigeria,NGA,566,Africa,Sub-Saharan Africa
Niue,NIU,570,Oceania,Polynesia
Norfolk Island,NFK,574,Oceania,Australia and New Zealand
North Macedonia,MKD,807,Europe,Southern Europe
Northern Mariana Islands,MNP,580,Oceania,Micronesia
Norway,NOR,578,Europe,Northern Europe
Oman,OMN,512,Asia,Western Asia
Pakistan,PAK,586,Asia,Southern Asia
Palau,PLW,585,Oceania,Micronesia
"Palestine, State of",PSE,275,Asia,Western Asia
Panama,PAN,591,Americas,Latin America and the Caribbean
Papua New Guinea,PNG,598,Oceania,Melanesia
Paraguay,PRY,600,Americas,Latin America and the Caribbean
Peru,PER,604,Americas,Latin America and the Caribbean
Philippines,PHL,608,Asia,South-eastern Asia
Pitcairn,PCN,612,Oceania,Polynesia
Poland,POL,616,Europe,Eastern Europe
Portugal,PRT,620,Europe,Southern Europe
Puerto Rico,PRI,630,Americas,Latin America and the Caribbean
Qatar,QAT,634,Asia,Western Asia
Réunion,REU,638,Africa,Sub-Saharan Africa
Romania,ROU,642,Europe,Eastern Europe
Russian Federation,RUS,643,Europe,Eastern Europe
Rwanda,RWA,646,Africa,Sub-Saharan Africa
Saint Barthélemy,BLM,652,Americas,Latin America and the Caribbean
"Saint Helena, Ascension and Tristan da Cunha",SHN,654,Africa,Sub-Saharan Africa
Saint Kitts and Nevis,KNA,659,Americas,Latin America and the Caribbean
Saint Lucia,LCA,662,Americas,Latin America and the Caribbean
Saint Martin (French part),MAF,663,Americas,Latin America and the Caribbean
Saint Pierre and Miquelon,SPM,666,Americas,Northern America
Saint Vincent and the Grenadines,VCT,670,Americas,Latin America and the Caribbean
Samoa,WSM,882,Oceania,Polynesia
San Marino,SMR,674,Europe,Southern Europe
Sao Tome and Principe,STP,678,Africa,Sub-Saharan Africa
Saudi Arabia,SAU,682,Asia,Western Asia
Senegal,SEN,686,Africa,Sub-Saharan Africa
Serbia,SRB,688,Europe,Southern Europe
Seychelles,SYC,690,Africa,Sub-Saharan Africa
Sierra Leone,SLE,694,Africa,Sub-Saharan Africa
Singapore,SGP,702,Asia,South-eastern Asia
Sint Maarten (Dutch part),SXM,534,Americas,Latin America and the Caribbean
Slovakia,SVK,703,Europe,Eastern Europe
Slovenia,SVN,705,Europe,Southern Europe
Solomon Islands,SLB,90,Oceania,Melanesia
Somalia,SOM,706,Africa,Sub-Saharan Africa
South Africa,ZAF,710,Africa,Sub-Saharan Africa
South Georgia and the South Sandwich Islands,SGS,239,Americas,Latin America and the Caribbean
South Sudan,SSD,728,Africa,Sub-Saharan Africa
Spain,ESP,724,Europe,Southern Europe
Sri Lanka,LKA,144,Asia,Southern Asia
Sudan,SDN,729,Africa,Northern Africa
Suriname,SUR,740,Americas,Latin America and the Caribbean
Svalbard and Jan Mayen,SJM,744,Europe,Northern Europe
Sweden,SWE,752,Europe,Northern Europe
Switzerland,CHE,756,Europe,Western Europe
Syrian Arab Republic,SYR,760,Asia,Western Asia
"Taiwan, Province of China",TWN,158,,
Tajikistan,TJK,762,Asia,Central Asia
"Tanzania, United Republic of",TZA,834,Africa,Sub-Saharan Africa
Thailand,THA,764,Asia,South-eastern Asia
Timor-Leste,TLS,626,Asia,South-eastern Asia
Togo,TGO,768,Africa,Sub-Saharan Africa
Tokelau,TKL,772,Oceania,Polynesia
Tonga,TON,776,Oceania,Polynesia
Trinidad and Tobago,TTO,780,Americas,Latin America and the Caribbean
Tunisia,TUN,788,Africa,Northern Africa
Türkiye,TUR,792,Asia,Western Asia
Turkmenistan,TKM,795,Asia,Central Asia
Turks and Caicos Islands,TCA,796,Americas,Latin America and the Caribbean
Tuvalu,TUV,798,Oceania,Polynesia
Uganda,UGA,800,Africa,Sub-Saharan Africa
Ukraine,UKR,804,Europe,Eastern Europe
United Arab Emirates,ARE,784,Asia,Western Asia
United Kingdom of Great Britain and Northern Ireland,GBR,826,Europe,Northern Europe
United States of America,USA,840,Americas,Northern America
United States Minor Outlying Islands,UMI,581,Oceania,Micronesia
Uruguay,URY,858,Americas,Latin America and the Caribbean
Uzbekistan,UZB,860,Asia,Central Asia
Vanuatu,VUT,548,Oceania,Melanesia
"Venezuela, Bolivarian Republic of",VEN,862,Americas,Latin America and the Caribbean
Viet Nam,VNM,704,Asia,South-eastern Asia
Virgin Islands (British),VGB,92,Americas,Latin America and the Caribbean
Virgin Islands (U.S.),VIR,850,Americas,Latin America and the Caribbean
Wallis and Futuna,WLF,876,Oceania,Polynesia
Western Sahara,ESH,732,Africa,Northern Africa
Yemen,YEM,887,Asia,Western Asia
Zambia,ZMB,894,Africa,Sub-Saharan Africa
Zimbabwe,ZWE,716,Africa,Sub-Saharan Africa
